full_label_raw,base_label,base_label_en,modifiers_ko,modifiers_en,axis
물질적 잔여물(조각),물질적 잔여물,material residue,조각,piece,Documentation & Representation
실시간 영상(웹캐스트),실시간 영상,Live video,웹캐스트,Webcast,Documentation & Representation
레시피,레시피,recipe,,,Documentation & Representation
3D 프린팅 조각,3D 프린팅 조각,3D printed sculptures,,,Documentation & Representation
살아있는 유기체,살아있는 유기체,living organisms,,,Documentation & Representation
설치,설치,installation,,,Documentation & Representation
실시간 영상(애니메이션),실시간 영상,Live video,애니메이션,animated movie,Documentation & Representation
물질적 잔여물(향),물질적 잔여물,material residue,향,scent,Documentation & Representation
데이터 시각화(웹),데이터 시각화,Data visualization,웹,Web,Documentation & Representation
실시간 식물 성장,실시간 식물 성장,Real-time plant growth,,,Documentation & Representation
영상,영상,video,,,Documentation & Representation
조각적 오브제,조각적 오브제,sculptural object,,,Documentation & Representation
드로잉,드로잉,Drawing,,,Documentation & Representation
워크숍 기록,워크숍 기록,Workshop Record,,,Documentation & Representation
텍스타일,텍스타일,Textiles,,,Documentation & Representation
조각,조각,Sculpture,,,Documentation & Representation
물질적 잔여물(크림),물질적 잔여물,material residue,크림,cream,Documentation & Representation
유리용기,유리용기,glass container,,,Documentation & Representation
살아있는 식물,살아있는 식물,living plants,,,Documentation & Representation
텍스트,텍스트,Text,,,Documentation & Representation
액자속 DNA 염기서열,액자속 DNA 염기서열,DNA sequence in a frame,,,Documentation & Representation
실험실오브제,실험실 오브제,Laboratory Objects,,,Documentation & Representation
프로젝트설명문,프로젝트 설명문,Project Description,,,Documentation & Representation
바이오 오브제 자체,바이오 오브제 자체,The bio object itself,,,Documentation & Representation
과정및결과의사진기록,과정 및 결과의 사진 기록,Photographic documentation of the process and results,,,Documentation & Representation
상호작용적설치물자체,상호작용적 설치물 자체,The interactive installation itself,,,Documentation & Representation
서사,서사,narrative,,,Documentation & Representation
화학식,화학식,Chemical formula,,,Documentation & Representation
관객의 증언에 의존(기록의 어려움),관객의 증언에 의존,Relying on audience testimony,기록의 어려움,Difficulty of recording,Documentation & Representation
영상 기록물,영상 기록물,Video records,,,Documentation & Representation
비평텍스트를통한퍼포먼스기록,비평 텍스트를 통한 퍼포먼스 기록,Documenting performance through critical text,,,Documentation & Representation
작동 다이어그램,작동 다이어그램,Operating diagram,,,Documentation & Representation
과학적 설명,과학적 설명,scientific explanation,,,Documentation & Representation
설치기록영상,설치 기록 영상,Installation Record Video,,,Documentation & Representation
프로토타입전시,프로토타입 전시,Prototype exhibition,,,Documentation & Representation
거리사진,거리사진,street photography,,,Documentation & Representation
지도 기반의 위치 기록,지도 기반의 위치 기록,Map-based location history,,,Documentation & Representation
구술적재현,구술적재현,Oral representation,,,Documentation & Representation
비디오,비디오,video,,,Documentation & Representation
웹아카이브,웹아카이브,Web Archive,,,Documentation & Representation
아카이브,아카이브,Archive,,,Documentation & Representation
지도,지도,map,,,Documentation & Representation
오브제,오브제,object,,,Documentation & Representation
공예 오브제,공예 오브제,Craft objects,,,Documentation & Representation
과학적 기록,과학적 기록,scientific records,,,Documentation & Representation
사변적 서사,사변적 서사,Speculative narrative,,,Documentation & Representation
알고리즘적 재현,알고리즘적 재현,Algorithmic representation,,,Documentation & Representation
추측적 초상,추측적 초상,Speculative portrait,,,Documentation & Representation
사변적 디자인,사변적 디자인,Speculative design,,,Documentation & Representation
디지털 렌더링,디지털 렌더링,digital rendering,,,Documentation & Representation
과정의 기록,과정의 기록,Record of the process,,,Documentation & Representation
